id,value,product_id,product_feature_id
1,8192 мб,1,2
2,600 ватт,1,3
3,[RTX 3060 Ti GAMING Z TRIO 8G LHR],1,1
4,8 нанометров,1,4
5,323 мм,1,5
6,36 мес,1,6
7,8192 мб,2,2
8,450 ватт,2,3
9,[RTX 3050 GAMING X 8G],2,1
10,8 нанометров,2,4
11,278 мм,2,5
12,24 мес,2,6
13,8192 мб,3,2
14,450 ватт,3,3
15,[GV-N3050GAMING OC-8GD],3,1
16,8 нанометров,3,4
17,282 мм,3,5
18,36 мес,3,6
19,6144 мб,4,2
20,500 ватт,4,3
21,[GV-N3050GAMING OC-8GD],4,1
22,12 нанометров,4,4
23,226 мм,4,5
24,36 мес,4,6
25,3.6 ггц,5,7
26,7 нанометров,5,8
27,6,5,9
28,12,5,10
29,[100-000000031],5,11
30,am4,5,12
31,ddr4,5,13
32,12 мес,5,14
33,3 мб,5,15
34,32 мб,5,16
